State,Constituency,Candidate,Party,Votes,Percentage
Andhra Pradesh,Araku (ST),GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,477005,40.96
Andhra Pradesh,Araku (ST),KOTHAPALLI GEETHA,Bharatiya Janata Party,426425,36.62
Andhra Pradesh,Araku (ST),APPALANARASA PACHIPENTA,Communist Party of India  (Marxist),123129,10.57
Andhra Pradesh,Araku (ST),AVASHYA LAHARI . VARAM,Bahujan Samaj Party,25750,2.21
Andhra Pradesh,Araku (ST),SAMAREDDY BALAKRISHNA,Independent,9535,0.82
Andhra Pradesh,Araku (ST),NIMMAKA JAYARAJU,Independent,9462,0.81
Andhra Pradesh,Araku (ST),ATHIDHI,Independent,8136,0.7
Andhra Pradesh,Araku (ST),CHANTI BADNAINA,Jai Bharat National Party,7252,0.62
Andhra Pradesh,Araku (ST),MOTTADAM . RAJABABU,Bharat Adivasi Party,6766,0.58
Andhra Pradesh,Araku (ST),RANJITH KUMAR PALAKA,Independent,6047,0.52
Andhra Pradesh,Araku (ST),RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4959,0.43
Andhra Pradesh,Araku (ST),MANDALA GIRIDHARA RAO,Independent,4967,0.43
Andhra Pradesh,Araku (ST),VUYAKA NIREEKSHAN  (V. CHENCHU),India Praja Bandhu Party,4542,0.39
Andhra Pradesh,Araku (ST),NOTA,None of the Above,50470,4.33
Andhra Pradesh,Srikakulam,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,754328,61.05
Andhra Pradesh,Srikakulam,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,426427,34.51
Andhra Pradesh,Srikakulam,PEDADA PARAMESWARA RAO,Indian National Congress,7172,0.58
Andhra Pradesh,Srikakulam,SANAPALA SRAVAN KUMAR,Independent,5958,0.48
Andhra Pradesh,Srikakulam,NAIDUGARI RAJASEKHAR,Bahujan Samaj Party,4742,0.38
Andhra Pradesh,Srikakulam,VABA YOGESWARA RAO,Independent,3598,0.29
Andhra Pradesh,Srikakulam,BETHA VIVEKANANDA MAHARAJ,Independent,2536,0.21
Andhra Pradesh,Srikakulam,YEDDU LAKSHMINARAYANA,Independent,1605,0.13
Andhra Pradesh,Srikakulam,BORUBADRA CHANDRAKALA,Bharatha Chaitanya Yuvajana Party,1357,0.11
Andhra Pradesh,Srikakulam,IPPILI SEETHARAJU,Jai Bharat National Party,1130,0.09
Andhra Pradesh,Srikakulam,KAYA DURGARAO,Navarang Congress Party,818,0.07
Andhra Pradesh,Srikakulam,CHELLURI DANIYAL,Independent,816,0.07
Andhra Pradesh,Srikakulam,BOMMALI TIRUPATI RAO,Pyramid Party of India,594,0.05
Andhra Pradesh,Srikakulam,NOTA,None of the Above,24605,1.99
